PE,rank,method,data,start,end
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 6))]}",1566489800.430063,1566489800.43139
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1274, 'id': ('PeakGroundMotion3', 3, 'output', 5)}",1566489800.4373991,1566489800.4375172
PeakGroundMotion3,3,process,"{}",1566489800.359352,1566489800.437377
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 5))]}",1566489800.430748,1566489800.438248
Match5,5,process,"{}",1566489800.4307368,1566489800.4307451
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 6))]}",1566489800.4375439,1566489800.438978
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 9)}",1566489800.445207,1566489800.445278
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 9)}",1566489800.445329,1566489800.445368
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1272, 'id': ('PeakGroundMotion3', 3, 'output', 6)}",1566489800.455269,1566489800.455383
PeakGroundMotion3,3,process,"{}",1566489800.439013,1566489800.455246
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 6))]}",1566489800.4383051,1566489800.456129
Match5,5,process,"{}",1566489800.438293,1566489800.4383008
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 5))]}",1566489800.445385,1566489800.459754
NormPE1,1,process,"{}",1566489800.412012,1566489800.4453802
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 7))]}",1566489800.4554172,1566489800.4593432
NormPE1,1,write,"{'output': 'output_mean', 'size': 29394, 'id': ('NormPE1', 1, 'output_mean', 10)}",1566489800.477264,1566489800.4773288
NormPE1,1,write,"{'output': 'output_max', 'size': 29393, 'id': ('NormPE1', 1, 'output_max', 10)}",1566489800.477358,1566489800.4773939
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1271, 'id': ('PeakGroundMotion4', 4, 'output', 6)}",1566489800.4772549,1566489800.477356
PeakGroundMotion4,4,process,"{}",1566489800.431426,1566489800.4772348
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 6))]}",1566489800.456195,1566489800.478131
Match5,5,process,"{}",1566489800.456182,1566489800.456191
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 6))]}",1566489800.4774091,1566489800.4782321
NormPE1,1,process,"{}",1566489800.459837,1566489800.4774048
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 7))]}",1566489800.477387,1566489800.478532
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 11)}",1566489800.4924438,1566489800.492511
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 11)}",1566489800.492537,1566489800.492569
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 6))]}",1566489800.492584,1566489800.493425
NormPE1,1,process,"{}",1566489800.47827,1566489800.4925802
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion4', 4, 'output', 7)}",1566489800.496324,1566489800.49651
PeakGroundMotion4,4,process,"{}",1566489800.4786282,1566489800.496304
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 7))]}",1566489800.4781911,1566489800.4972422
Match5,5,process,"{}",1566489800.478179,1566489800.478188
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 8))]}",1566489800.4965582,1566489800.49854
NormPE1,1,write,"{'output': 'output_mean', 'size': 29394, 'id': ('NormPE1', 1, 'output_mean', 12)}",1566489800.5123708,1566489800.5124538
NormPE1,1,write,"{'output': 'output_max', 'size': 29393, 'id': ('NormPE1', 1, 'output_max', 12)}",1566489800.512492,1566489800.5125399
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 7))]}",1566489800.5125601,1566489800.5130482
NormPE1,1,process,"{}",1566489800.49349,1566489800.5125551
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1272, 'id': ('PeakGroundMotion4', 4, 'output', 8)}",1566489800.5156999,1566489800.51584
PeakGroundMotion4,4,process,"{}",1566489800.4985821,1566489800.5156748
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 8))]}",1566489800.4973,1566489800.517023
Match5,5,process,"{}",1566489800.497288,1566489800.4972968
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 9))]}",1566489800.515875,1566489800.51705
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 13)}",1566489800.527172,1566489800.527232
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 13)}",1566489800.5272589,1566489800.5272908
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 7))]}",1566489800.527306,1566489800.527814
NormPE1,1,process,"{}",1566489800.513077,1566489800.5273018
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1274, 'id': ('PeakGroundMotion3', 3, 'output', 7)}",1566489800.53032,1566489800.530418
PeakGroundMotion3,3,process,"{}",1566489800.45939,1566489800.5303009
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 7))]}",1566489800.5171359,1566489800.53108
Match5,5,process,"{}",1566489800.51711,1566489800.517129
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 8))]}",1566489800.530445,1566489800.5315998
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion3', 3, 'output', 8)}",1566489800.547471,1566489800.547644
PeakGroundMotion3,3,process,"{}",1566489800.53163,1566489800.5474482
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 8))]}",1566489800.531132,1566489800.5497038
Match5,5,process,"{}",1566489800.531122,1566489800.5311291
NormPE1,1,write,"{'output': 'output_mean', 'size': 29394, 'id': ('NormPE1', 1, 'output_mean', 14)}",1566489800.545206,1566489800.545279
NormPE1,1,write,"{'output': 'output_max', 'size': 29393, 'id': ('NormPE1', 1, 'output_max', 14)}",1566489800.545331,1566489800.5453749
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 9))]}",1566489800.547693,1566489800.55169
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 8))]}",1566489800.545391,1566489800.554059
