PE,rank,method,data,start,end
RotationPE31,2,read,"{'input': [('input', ('PE_filter_bandpass28', 16, 'output', 3))]}",1566489791.907142,1566489792.225874
StoreStream32,3,read,"{'input': [('input', ('RotationPE30', 1, 'output', 3))]}",1566489791.942765,1566489792.2260559
StoreStream32,3,process,"{}",1566489791.940136,1566489791.9427578
RotationPE31,2,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE31', 2, 'output', 3)}",1566489792.227479,1566489792.2275681
RotationPE31,2,process,"{}",1566489792.225936,1566489792.2272892
StoreStream33,4,read,"{'input': [('input', ('RotationPE31', 2, 'output', 3))]}",1566489791.921372,1566489792.241027
StoreStream33,4,process,"{}",1566489791.916708,1566489791.9213629
data29,0,write,"{'output': 'output_real', 'size': 1031, 'id': ('data29', 0, 'output_real', 4)}",1566489792.288228,1566489792.288317
data29,0,write,"{'output': 'output_synt', 'size': 1031, 'id': ('data29', 0, 'output_synt', 4)}",1566489792.288342,1566489792.288382
PE_detrend23,11,read,"{'input': [('input', ('data29', 0, 'output_synt', 4))]}",1566489792.105401,1566489792.298613
PE_detrend17,5,read,"{'input': [('input', ('data29', 0, 'output_real', 4))]}",1566489792.0475368,1566489792.2984262
PE_detrend17,5,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend17', 5, 'output', 4)}",1566489792.304255,1566489792.304333
PE_detrend17,5,process,"{}",1566489792.298479,1566489792.303992
PE_taper18,6,read,"{'input': [('input', ('PE_detrend17', 5, 'output', 4))]}",1566489792.06791,1566489792.3098738
PE_taper18,6,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper18', 6, 'output', 4)}",1566489792.311599,1566489792.311681
PE_taper18,6,process,"{}",1566489792.3099189,1566489792.311326
PE_remove_response19,7,read,"{'input': [('input', ('PE_taper18', 6, 'output', 4))]}",1566489792.1210759,1566489792.318145
PE_detrend23,11,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend23', 11, 'output', 4)}",1566489792.323411,1566489792.323542
PE_detrend23,11,process,"{}",1566489792.2986581,1566489792.323117
PE_taper24,12,read,"{'input': [('input', ('PE_detrend23', 11, 'output', 4))]}",1566489792.122785,1566489792.330115
PE_taper24,12,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper24', 12, 'output', 4)}",1566489792.331323,1566489792.331394
PE_taper24,12,process,"{}",1566489792.330155,1566489792.33107
PE_pre_filter25,13,read,"{'input': [('input', ('PE_taper24', 12, 'output', 4))]}",1566489792.1429079,1566489792.337527
PE_pre_filter25,13,write,"{'output': 'output', 'size': 1015, 'id': ('PE_pre_filter25', 13, 'output', 4)}",1566489792.338767,1566489792.3388538
PE_pre_filter25,13,process,"{}",1566489792.337572,1566489792.3384519
PE_remove_response19,7,write,"{'output': 'output', 'size': 1015, 'id': ('PE_remove_response19', 7, 'output', 4)}",1566489792.3370712,1566489792.3371499
PE_remove_response19,7,process,"{}",1566489792.3181891,1566489792.3368168
PE_filter_lowpass20,8,read,"{'input': [('input', ('PE_remove_response19', 7, 'output', 4))]}",1566489792.146464,1566489792.343673
PE_filter_lowpass26,14,read,"{'input': [('input', ('PE_pre_filter25', 13, 'output', 4))]}",1566489792.165269,1566489792.3444328
PE_filter_lowpass20,8,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass20', 8, 'output', 4)}",1566489792.347463,1566489792.347553
PE_filter_lowpass20,8,process,"{}",1566489792.3437219,1566489792.347169
PE_filter_lowpass26,14,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass26', 14, 'output', 4)}",1566489792.348358,1566489792.3484318
PE_filter_lowpass26,14,process,"{}",1566489792.34447,1566489792.348116
PE_filter_highpass21,9,read,"{'input': [('input', ('PE_filter_lowpass20', 8, 'output', 4))]}",1566489792.168027,1566489792.353607
PE_filter_highpass27,15,read,"{'input': [('input', ('PE_filter_lowpass26', 14, 'output', 4))]}",1566489792.1844878,1566489792.3551471
PE_filter_highpass21,9,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass21', 9, 'output', 4)}",1566489792.357704,1566489792.3577988
PE_filter_highpass21,9,process,"{}",1566489792.3536482,1566489792.357395
