PE,rank,method,data,start,end
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 3)}",1566489778.794952,1566489778.794997
PE_waveform_reader6,4,process,"{}",1566489778.79264,1566489778.794944
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 4))]}",1566489778.795024,1566489778.7950752
PE_plot_stream7,5,read,"{'input': [('input', ('PE_waveform_reader6', 4, 'output', 1))]}",1566489759.996757,1566489778.7954738
PE_plot_stream7,5,preprocess,"{}",1566489759.996655,1566489759.996736
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 4)}",1566489778.797867,1566489778.7979038
PE_waveform_reader6,4,process,"{}",1566489778.795091,1566489778.797857
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 5))]}",1566489778.797935,1566489778.7979798
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 5)}",1566489778.799746,1566489778.7997818
PE_waveform_reader6,4,process,"{}",1566489778.797997,1566489778.799739
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 6))]}",1566489778.7998059,1566489778.79985
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 6)}",1566489778.801613,1566489778.801651
PE_waveform_reader6,4,process,"{}",1566489778.7998688,1566489778.801606
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 7))]}",1566489778.801675,1566489778.801721
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 7)}",1566489778.8042262,1566489778.8042638
PE_waveform_reader6,4,process,"{}",1566489778.8017359,1566489778.8042188
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 8))]}",1566489778.80429,1566489778.804333
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 8)}",1566489778.806536,1566489778.806576
PE_waveform_reader6,4,process,"{}",1566489778.804351,1566489778.806528
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 9))]}",1566489778.806599,1566489778.806647
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 9)}",1566489778.812429,1566489778.81247
PE_waveform_reader6,4,process,"{}",1566489778.8066628,1566489778.8124218
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 10))]}",1566489778.8125,1566489778.812541
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 6)}",1566489778.791144,1566489778.791167
PE_stationxml_reader11,3,process,"{}",1566489778.789304,1566489778.7911339
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 7))]}",1566489778.7912252,1566489778.791272
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 7)}",1566489778.792752,1566489778.79278
PE_stationxml_reader11,3,process,"{}",1566489778.7912939,1566489778.792738
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 8))]}",1566489778.792834,1566489778.792906
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 8)}",1566489778.796615,1566489778.7966452
PE_stationxml_reader11,3,process,"{}",1566489778.792932,1566489778.796602
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 9))]}",1566489778.7966988,1566489778.796768
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 9)}",1566489778.7983701,1566489778.798391
PE_stationxml_reader11,3,process,"{}",1566489778.796791,1566489778.798362
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 10))]}",1566489778.798423,1566489778.799603
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 10)}",1566489778.801291,1566489778.801312
PE_stationxml_reader11,3,process,"{}",1566489778.799625,1566489778.801282
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 11))]}",1566489778.801347,1566489778.801395
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 11)}",1566489778.802441,1566489778.802461
PE_stationxml_reader11,3,process,"{}",1566489778.80141,1566489778.802433
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 12))]}",1566489778.8024929,1566489778.802538
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 12)}",1566489778.8041751,1566489778.804197
PE_stationxml_reader11,3,process,"{}",1566489778.8025532,1566489778.8041658
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 13))]}",1566489778.804232,1566489778.804278
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 13)}",1566489778.805313,1566489778.80533
PE_stationxml_reader11,3,process,"{}",1566489778.804304,1566489778.8053062
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 14))]}",1566489778.8053591,1566489778.805402
